id,key,value,type
28918000,created_by,JOSM,regular
28918039,created_by,JOSM,regular
28930674,highway,traffic_signals,regular
28930701,ref,SP9,regular
28930701,name,SP9 Hang Tuah,regular
28930701,en,Hang Tuah,name
28930701,ja,ハン・トゥア,name
28930701,ms,Hang Tuah,name
28930701,ta,ஹங் துஅஹ்,name
28930701,zh,汉都亚,name
28930701,network,Ampang Line;Sri Petaling Line,regular
28930701,railway,station,regular
28930701,station,light_rail,regular
28930701,operator,Rapid KL,regular
28930701,wikidata,Q27142,regular
28930701,full_name,Hang Tuah LRT Station,regular
28930701,wikipedia,en:Hang Tuah Station,regular
28930701,public_transport,station,regular
28930737,ref,MR1,regular
28930737,name,MR1 KL Sentral (Monorail),regular
28930737,source,Wikipedia,regular
28930737,en,KL Sentral (Monorail),name
28930737,ms,KL Sentral (Monorail),name
28930737,zh,吉隆坡中央（单轨）,name
28930737,network,KL Monorail,regular
28930737,railway,station,regular
28930737,station,monorail,regular
28930737,website,http://mrt.com.my/kl_monorail/KL_Sentral.htm,regular
28930737,operator,Rapid KL,regular
28930737,wikidata,Q801042,regular
28930737,full_name,Kuala Lumpur Sentral Monorail Station,regular
28930737,wikipedia,en:Kuala Lumpur Sentral railway station,regular
28930737,public_transport,station,regular
28930803,created_by,JOSM,regular
28930810,created_by,JOSM,regular
28991563,created_by,JOSM,regular
28991573,created_by,JOSM,regular
28991583,created_by,JOSM,regular
29004708,created_by,JOSM,regular
29004726,highway,traffic_signals,regular
29004726,created_by,JOSM,regular
29004728,highway,traffic_signals,regular
29674199,highway,traffic_signals,regular
29674236,created_by,JOSM,regular
29674243,highway,traffic_signals,regular
29688130,created_by,JOSM,regular
32453247,highway,traffic_signals,regular
32481467,highway,traffic_signals,regular
32486906,highway,traffic_signals,regular
32530979,highway,traffic_signals,regular
32531013,ref,3506,regular
32531013,name,Bukit Jelutong,regular
32531013,exit_to,Bukit Jelutong; Puncak Alam; Meru; Kampung Subang; Kelab Golf Monterez,regular
32531013,highway,motorway_junction,regular
32531058,ref,3507,regular
32531058,source,signboard,regular
32531058,exit_to,Bukit Jelutong;TTDI Jaya;TUDM,regular
32531058,highway,motorway_junction,regular
32531119,ref,3508,regular
32531119,source,signboard,regular
32531119,highway,motorway_junction,regular
32531490,highway,traffic_signals,regular
32532051,highway,traffic_signals,regular
32638957,highway,traffic_signals,regular
32685631,name,Plaza Tol Putrajaya,regular
32685631,barrier,toll_booth,regular
32685631,en,Putrajaya Toll Plaza,name
32685631,operator,PLUS Expressways,regular
32685736,highway,motorway_junction,regular
32685793,highway,motorway_junction,regular
32878895,ref,111,regular
32878895,name,Jalan Duta,regular
32878895,highway,motorway_junction,regular
32878989,highway,motorway_junction,regular
33138693,barrier,toll_booth,regular
33138693,operator,Grand Saga Sdn Bhd,regular
33138693,designation,Batu 9 Toll,regular
33247559,highway,traffic_signals,regular
33247559,traffic_signals,signal,regular
33247568,highway,traffic_signals,regular
33247685,highway,traffic_signals,regular
33247685,traffic_signals,signal,regular
33248100,highway,traffic_signals,regular
33349889,highway,traffic_signals,regular
33350272,highway,motorway_junction,regular
