id,user,uid,version,changeset,timestamp
4578273,Kai Adam,5259280,9,49877640,2017-06-28T03:15:56Z
4579496,rene78,257555,17,45805681,2017-02-04T13:42:40Z
4579534,woodpeck_repair,145231,10,35956501,2015-12-14T23:05:35Z
4584656,Kai Adam,5259280,12,49958879,2017-07-01T06:36:16Z
4584664,rene78,257555,7,37799921,2016-03-13T14:50:13Z
4585480,rene78,257555,11,45805681,2017-02-04T13:42:39Z
4661702,Tembikai,5259280,13,50241873,2017-07-12T21:52:24Z
4661707,Tembikai,5259280,21,50241873,2017-07-12T21:52:24Z
4672293,rene78,257555,8,28739281,2015-02-09T22:07:21Z
4672548,Tembikai,5259280,20,50241873,2017-07-12T21:52:20Z
4674191,Tembikai,5259280,14,50237239,2017-07-12T18:11:47Z
4931450,nyem,10463,11,3733352,2010-01-28T06:12:19Z
4931834,MapperOne,3026761,8,40163112,2016-06-20T17:56:51Z
4934921,nyem,10463,10,5812,2008-04-01T17:58:27Z
4934923,nyem,10463,7,1501691,2009-06-13T07:12:09Z
4934925,xybot,70696,11,1900098,2009-07-21T23:51:22Z
4934928,nyem,10463,6,723744,2008-11-09T17:53:26Z
4934935,RunRunShow,3553413,19,37737492,2016-03-10T15:47:05Z
4934943,nyem,10463,9,594616,2009-02-21T15:53:02Z
4934997,yoongwaichong,999316,7,13818044,2012-11-10T09:53:50Z
4935005,nyem,10463,8,811742,2009-01-19T15:21:20Z
4935012,Moovit Team,1190212,30,20764930,2014-02-25T07:31:39Z
4937192,AkuAnakTimur,1407839,36,42938027,2016-10-16T14:55:19Z
4937257,Samson Cheong,427961,15,43936073,2016-11-25T04:20:06Z
4937279,AkuAnakTimur,1407839,14,38406259,2016-04-08T13:46:45Z
4937363,nyem,10463,20,1518798,2009-06-14T20:31:12Z
4937384,RunRunShow,3553413,12,44530514,2016-12-20T02:48:43Z
4937414,nyem,10463,4,711214,2009-03-01T03:26:58Z
4937442,nyem,10463,15,104101,2008-06-09T05:46:37Z
4937445,nyem,10463,4,104101,2008-06-09T05:46:43Z
4954987,ajixz,3881567,7,49037525,2017-05-28T05:38:23Z
4955076,RunRunShow,3553413,14,36874983,2016-01-29T09:15:03Z
4955132,nyuriks,339581,12,46945989,2017-03-18T01:46:21Z
4961621,nyem,10463,5,104101,2008-06-09T04:25:22Z
4961639,nyem,10463,7,5812,2008-04-01T17:57:44Z
4965114,kucai,536853,10,25599177,2014-09-22T09:59:47Z
4992510,nyem,10463,6,613923,2008-09-12T19:45:06Z
5004022,Freezed,1864450,20,30197020,2015-04-13T19:46:16Z
5004030,kucai,536853,10,10186204,2011-12-23T11:08:11Z
5004602,Kai Adam,5259280,30,49423544,2017-06-10T15:52:03Z
5011012,nyem,10463,6,688962,2008-09-24T08:07:36Z
5011034,nyem,10463,3,101703,2009-02-03T21:14:37Z
5011036,kucai,536853,13,14094762,2012-11-30T04:52:28Z
5011042,Pizza1016,838520,8,26921884,2014-11-21T05:52:54Z
5011061,RunRunShow,3553413,9,37736190,2016-03-10T15:02:52Z
5011205,nyem,10463,10,512203,2009-02-17T22:19:05Z
5011221,Pizza1016,838520,7,27745417,2014-12-28T04:29:35Z
5012023,kucai,536853,11,10186204,2011-12-23T11:07:47Z
5012376,dinastik,1927974,35,50219454,2017-07-12T06:39:36Z
5012392,RunRunShow,3553413,10,37408692,2016-02-24T10:07:11Z
5012400,RunRunShow,3553413,13,37438066,2016-02-25T15:25:24Z
5012405,RunRunShow,3553413,7,37438066,2016-02-25T15:25:24Z
5012438,mahau,160164,4,11524991,2012-05-07T05:03:13Z
5012440,nyem,10463,2,851252,2009-01-29T12:33:37Z
5012452,Pizza1016,838520,7,27731589,2014-12-27T15:05:44Z
5022263,kucai,536853,24,9780524,2011-11-09T11:17:40Z
5022267,kucai,536853,9,26212630,2014-10-20T13:20:11Z
